model,file,dice_pixel,iou_pixel,pix_prec,pix_rec,pix_f1,dice_before,dice_loss_soft,case_gt,case_pred
U-Net,dataset/png_images/0_test_1_.png,0.5304496303184691,0.36096049573973665,0.7925170068027211,0.39863130881094955,0.5304496300512237,0.5304496303184691,0.5481614721046348,1,1
U-Net,dataset/png_images/0_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999550488257,0,0
U-Net,dataset/png_images/10000_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999168458696,0,0
U-Net,dataset/png_images/10001_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999352663695,0,0
U-Net,dataset/png_images/10002_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999013069184,0,0
U-Net,dataset/png_images/10003_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999998738586455,0,0
U-Net,dataset/png_images/10004_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999809463451,0,0
U-Net,dataset/png_images/10005_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999998700206156,0,0
U-Net,dataset/png_images/10006_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999245228968,0,0
U-Net,dataset/png_images/10007_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999375751791,0,0
U-Net,dataset/png_images/10008_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999136238977,0,0
U-Net,dataset/png_images/10009_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999857608195,0,0
U-Net,dataset/png_images/1000_test_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999003066269,0,0
U-Net,dataset/png_images/1000_train_1_.png,0.5506216700260909,0.3799019607843137,0.7579462102689487,0.43235704323570434,0.5506216696269983,0.5506216700260909,0.5939789084413736,1,1
U-Net,dataset/png_images/10010_train_0_.png,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999037961486,0,0
