Metric,Value
Mean Pixel Dice (DSC),0.3079538794009769
Std Pixel Dice,0.4269098382818072
Mean Pixel IoU,0.039048827875079566
Mean Pixel Precision,0.10838543411528884
Mean Pixel Recall,0.048586595250399926
Mean Pixel F1,0.05868273854585346
Mean Dice Loss (soft),0.9419934695287088
Mean Dice (soft 0.5->bin) before postproc,0.3079538794459849
Case Accuracy,0.4489795918367347
Case Precision,0.2702169625246548
Case Recall,0.9448275862068966
Case F1,0.42024539877300615
Case Specificity,0.31608133086876156
"Case Confusion (TN,FP,FN,TP)","(342, 740, 16, 274)"
Num Images,1372
